[2025-04-28 22:59:00] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2275 (Threshold: 100)
[2025-04-28 22:59:06] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2888 (Threshold: 100)
[2025-04-28 22:59:12] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2628 (Threshold: 100)
[2025-04-28 22:59:18] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2108 (Threshold: 100)
[2025-04-28 22:59:24] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2048 (Threshold: 100)
[2025-04-28 22:59:30] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2223 (Threshold: 100)
[2025-04-28 22:59:36] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2117 (Threshold: 100)
[2025-04-28 22:59:42] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2425 (Threshold: 100)
[2025-04-28 22:59:48] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 1699 (Threshold: 100)
[2025-04-28 22:59:55] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2182 (Threshold: 100)
[2025-04-28 23:00:01] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2375 (Threshold: 100)
[2025-04-28 23:00:07] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2185 (Threshold: 100)
[2025-04-28 23:00:13] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2129 (Threshold: 100)
[2025-04-28 23:00:20] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 1947 (Threshold: 100)
[2025-04-28 23:00:26] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 1652 (Threshold: 100)
[2025-04-28 23:00:32] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 1710 (Threshold: 100)
[2025-04-28 23:06:42] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 4065 (Threshold: 100)
[2025-04-28 23:06:48] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 4125 (Threshold: 100)
[2025-04-28 23:06:54] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3005 (Threshold: 100)
[2025-04-28 23:07:00] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2617 (Threshold: 100)
[2025-04-28 23:07:06] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2414 (Threshold: 100)
[2025-04-28 23:07:12] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2636 (Threshold: 100)
[2025-04-28 23:07:18] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 5961 (Threshold: 100)
[2025-04-28 23:42:12] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 4045 (Threshold: 100)
[2025-04-28 23:42:18] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3141 (Threshold: 100)
[2025-04-28 23:42:24] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3665 (Threshold: 100)
[2025-04-28 23:42:30] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2679 (Threshold: 100)
[2025-04-28 23:42:36] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2445 (Threshold: 100)
[2025-04-28 23:42:42] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2598 (Threshold: 100)
[2025-04-28 23:42:48] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2627 (Threshold: 100)
[2025-04-28 23:42:54] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2528 (Threshold: 100)
[2025-04-28 23:43:00] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2399 (Threshold: 100)
[2025-04-28 23:43:06] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2345 (Threshold: 100)
[2025-04-28 23:43:12] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3031 (Threshold: 100)
[2025-04-28 23:43:18] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2476 (Threshold: 100)
[2025-04-28 23:43:24] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2632 (Threshold: 100)
[2025-04-28 23:43:30] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2779 (Threshold: 100)
[2025-04-28 23:43:35] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 2954 (Threshold: 100)
[2025-04-28 23:43:41] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 1912 (Threshold: 100)
[2025-04-28 23:43:47] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3127 (Threshold: 100)
[2025-04-28 23:43:53] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 3886 (Threshold: 100)
[2025-04-29 13:47:24] [ALERT] Rule LDAP001 (LDAP Injection) detected from 192.168.93.1 | Severity: High | Details: LDAP Injection pattern '(|(userPassword=*))' detected in payload.
[2025-04-29 13:49:02] [ALERT] Rule LDAP001 (LDAP Injection) detected from 192.168.93.128 | Severity: High | Details: LDAP Injection pattern '(|(userPassword=*))' detected in payload.
